,Latitude,Longitude,date,county,state,fips,cases,deaths,COUNTY_ID
174,30.786788372000046,-102.73057384499998,2020-06-11,Pecos,Texas,48371,107,0,TX - PECOS
175,30.79502765700005,-94.83143006899996,2020-06-11,Polk,Texas,48373,62,0,TX - POLK
176,35.40438910000006,-101.89050321199994,2020-06-11,Potter,Texas,48375,2783,36,TX - POTTER
177,30.002430789000073,-104.23771027699996,2020-06-11,Presidio,Texas,48377,2,0,TX - PRESIDIO
178,32.87470676800007,-95.78769078499994,2020-06-11,Rains,Texas,48379,4,0,TX - RAINS
179,34.966649594000046,-101.89714954099998,2020-06-11,Randall,Texas,48381,748,7,TX - RANDALL
180,31.37061359300003,-101.52295996099997,2020-06-11,Reagan,Texas,48383,2,0,TX - REAGAN
181,29.838246215000026,-99.82919787999998,2020-06-11,Real,Texas,48385,1,0,TX - REAL
182,33.626050657000064,-95.04524496399995,2020-06-11,Red River,Texas,48387,86,8,TX - RED RIVER
183,31.327941216000056,-103.69363591099994,2020-06-11,Reeves,Texas,48389,11,0,TX - REEVES
184,28.351158759000043,-97.14541984399995,2020-06-11,Refugio,Texas,48391,5,0,TX - REFUGIO
185,35.84055601800003,-100.81524696899999,2020-06-11,Roberts,Texas,48393,2,0,TX - ROBERTS
186,31.036372409000023,-96.51507247799998,2020-06-11,Robertson,Texas,48395,18,0,TX - ROBERTSON
187,32.90591305700008,-96.40624071399998,2020-06-11,Rockwall,Texas,48397,199,14,TX - ROCKWALL
188,31.83429037700006,-99.97241812499999,2020-06-11,Runnels,Texas,48399,2,0,TX - RUNNELS
189,32.11156839700004,-94.76318705099999,2020-06-11,Rusk,Texas,48401,68,2,TX - RUSK
190,31.347896322000054,-93.85124941199996,2020-06-11,Sabine,Texas,48403,15,1,TX - SABINE
191,31.395171995000055,-94.17085412999995,2020-06-11,San Augustine,Texas,48405,49,4,TX - SAN AUGUSTINE
192,30.607987554000033,-95.22979414299994,2020-06-11,San Jacinto,Texas,48407,20,0,TX - SAN JACINTO
193,28.00346828000005,-97.51134264199999,2020-06-11,San Patricio,Texas,48409,41,0,TX - SAN PATRICIO
194,31.157421630000044,-98.81760939599997,2020-06-11,San Saba,Texas,48411,1,0,TX - SAN SABA
195,32.739058241000066,-100.91827106799997,2020-06-11,Scurry,Texas,48415,27,0,TX - SCURRY
196,32.73915006500005,-99.35526105899999,2020-06-11,Shackelford,Texas,48417,1,0,TX - SHACKELFORD
197,31.79364720800004,-94.14188800899996,2020-06-11,Shelby,Texas,48419,224,8,TX - SHELBY
198,36.273284896000064,-101.89354616099996,2020-06-11,Sherman,Texas,48421,28,0,TX - SHERMAN
199,32.37787545300006,-95.26965559599995,2020-06-11,Smith,Texas,48423,244,4,TX - SMITH
200,32.22901954400004,-97.77451855199996,2020-06-11,Somervell,Texas,48425,2,0,TX - SOMERVELL
201,26.566505239000037,-98.74935624099999,2020-06-11,Starr,Texas,48427,68,0,TX - STARR
202,32.73857618200003,-98.83445924899996,2020-06-11,Stephens,Texas,48429,4,0,TX - STEPHENS
203,34.53098379200003,-101.73173378099995,2020-06-11,Swisher,Texas,48437,19,1,TX - SWISHER
204,32.77624145000004,-97.28705532599997,2020-06-11,Tarrant,Texas,48439,6824,190,TX - TARRANT
205,32.30319236500003,-99.89062331699995,2020-06-11,Taylor,Texas,48441,343,5,TX - TAYLOR
206,33.17012408100004,-102.33127984899994,2020-06-11,Terry,Texas,48445,13,0,TX - TERRY
207,33.219368968000026,-94.96523821199997,2020-06-11,Titus,Texas,48449,635,3,TX - TITUS
208,31.408457594000026,-100.46566898499998,2020-06-11,Tom Green,Texas,48451,83,1,TX - TOM GREEN
209,30.24684158200006,-97.77289000399998,2020-06-11,Travis,Texas,48453,4238,101,TX - TRAVIS
210,31.091860005000058,-95.13610029799997,2020-06-11,Trinity,Texas,48455,22,0,TX - TRINITY
211,30.77044111500004,-94.37593774499999,2020-06-11,Tyler,Texas,48457,16,0,TX - TYLER
212,32.742662831000075,-94.94258367799995,2020-06-11,Upshur,Texas,48459,35,0,TX - UPSHUR
213,29.359157878000076,-99.76531844699997,2020-06-11,Uvalde,Texas,48463,22,0,TX - UVALDE
214,29.892279958000074,-101.14723523399994,2020-06-11,Val Verde,Texas,48465,21,0,TX - VAL VERDE
215,32.56950237900003,-95.83639751899995,2020-06-11,Van Zandt,Texas,48467,44,1,TX - VAN ZANDT
216,28.796180443000026,-96.97242980299995,2020-06-11,Victoria,Texas,48469,184,8,TX - VICTORIA
217,30.746612003000052,-95.57370218699998,2020-06-11,Walker,Texas,48471,1866,27,TX - WALKER
218,30.012095389000024,-95.99368019999997,2020-06-11,Waller,Texas,48473,86,0,TX - WALLER
219,31.513511951000055,-103.10026188899997,2020-06-11,Ward,Texas,48475,2,0,TX - WARD
220,30.21899722300003,-96.40611572799997,2020-06-11,Washington,Texas,48477,214,25,TX - WASHINGTON
221,27.658547630000044,-99.15888801499995,2020-06-11,Webb,Texas,48479,652,20,TX - WEBB
222,29.277780945000075,-96.22941719399995,2020-06-11,Wharton,Texas,48481,87,1,TX - WHARTON
223,35.40239591000005,-100.26911850399995,2020-06-11,Wheeler,Texas,48483,15,0,TX - WHEELER
224,33.98356185100005,-98.70340851199995,2020-06-11,Wichita,Texas,48485,93,2,TX - WICHITA
225,34.07753030300006,-99.24129491399998,2020-06-11,Wilbarger,Texas,48487,7,0,TX - WILBARGER
226,26.47142759600007,-97.69057301799995,2020-06-11,Willacy,Texas,48489,48,3,TX - WILLACY
227,30.653786610000054,-97.60082227899994,2020-06-11,Williamson,Texas,48491,787,30,TX - WILLIAMSON
228,29.17875117500006,-98.09178550099995,2020-06-11,Wilson,Texas,48493,46,5,TX - WILSON
229,31.85109377200007,-103.05325343499999,2020-06-11,Winkler,Texas,48495,3,0,TX - WINKLER
230,33.21839914900005,-97.65128900399998,2020-06-11,Wise,Texas,48497,55,5,TX - WISE
231,32.789898968000045,-95.37949396099998,2020-06-11,Wood,Texas,48499,51,5,TX - WOOD
232,33.16587733400007,-102.81778029199995,2020-06-11,Yoakum,Texas,48501,8,0,TX - YOAKUM
233,33.17620511300004,-98.68538706699997,2020-06-11,Young,Texas,48503,13,1,TX - YOUNG
234,27.002324482000063,-99.17442538599994,2020-06-11,Zapata,Texas,48505,12,0,TX - ZAPATA
235,28.864591764000068,-99.76224995199999,2020-06-11,Zavala,Texas,48507,12,0,TX - ZAVALA
